employment_status,monthly_income,monthly_expenses,goal_types,target_amount,target_duration,risk_tolerance,investment_experience,savings_investment,existing_loans,financial_discipline,strategy_name,strategy_description,risk_level,duration_year,return_rate
student,<5000,<5000,"['vacation', 'retirement', 'education']",240372,16,moderate,advanced,<5000,5000-10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,5.1%
unemployed,<5000,5000-10000,"['retirement', 'emergency fund', 'education']",91997,2,low,beginner,0,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.0%
unemployed,>10000,5000-10000,"['Buying house', 'retirement', 'vacation']",53797,11,moderate,beginner,<5000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.0%
student,>10000,5000-10000,"['vacation', 'emergency fund', 'retirement']",154777,3,moderate,advanced,5000-10000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.4%
employed,>10000,0,"['Buying house', 'education', 'retirement']",126176,11,low,intermediate,>10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.8%
retired,5000-10000,5000-10000,"['vacation', 'education', 'emergency fund']",323059,2,moderate,advanced,<5000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.6%
student,5000-10000,>10000,"['Buying house', 'education', 'vacation']",116165,6,moderate,intermediate,5000-10000,<5000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.9%
self-employed,5000-10000,5000-10000,"['vacation', 'retirement', 'Buying house']",358636,6,low,intermediate,<5000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.5%
retired,0,0,"['Buying house', 'vacation', 'retirement']",88810,5,moderate,beginner,>10000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.4%
retired,0,<5000,"['Buying house', 'retirement', 'emergency fund']",239319,9,high,intermediate,5000-10000,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.6%
employed,5000-10000,5000-10000,"['retirement', 'education', 'emergency fund']",337858,8,low,beginner,<5000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,6,4.8%
unemployed,<5000,<5000,"['Buying house', 'vacation', 'emergency fund']",127921,6,moderate,advanced,0,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.3%
employed,<5000,0,"['retirement', 'education', 'emergency fund']",93674,17,low,beginner,0,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.6%
self-employed,>10000,5000-10000,"['Buying house', 'education', 'vacation']",115271,16,low,intermediate,0,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.2%
self-employed,0,0,"['emergency fund', 'vacation', 'Buying house']",358093,4,low,beginner,>10000,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.4%
retired,5000-10000,>10000,"['retirement', 'emergency fund', 'education']",367349,6,low,intermediate,0,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,23.3%
self-employed,0,<5000,"['Buying house', 'education', 'emergency fund']",109866,6,high,intermediate,5000-10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,6.5%
unemployed,0,>10000,"['retirement', 'Buying house', 'education']",89630,14,high,advanced,>10000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.2%
self-employed,>10000,5000-10000,"['vacation', 'retirement', 'Buying house']",297607,1,low,intermediate,5000-10000,>10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,6.9%
self-employed,>10000,<5000,"['education', 'vacation', 'Buying house']",379673,6,low,beginner,>10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.5%
unemployed,5000-10000,5000-10000,"['emergency fund', 'retirement', 'Buying house']",350830,19,moderate,beginner,<5000,>10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.1%
unemployed,<5000,0,"['retirement', 'Buying house', 'emergency fund']",473544,8,moderate,intermediate,5000-10000,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,6.2%
employed,>10000,5000-10000,"['emergency fund', 'education', 'vacation']",88712,9,low,intermediate,5000-10000,0,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.4%
unemployed,5000-10000,0,"['vacation', 'retirement', 'Buying house']",113046,7,moderate,beginner,0,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.2%
retired,5000-10000,>10000,"['vacation', 'retirement', 'emergency fund']",195965,15,moderate,beginner,0,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,18.5%
self-employed,0,>10000,"['education', 'retirement', 'emergency fund']",58067,1,low,beginner,0,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.9%
employed,<5000,<5000,"['retirement', 'vacation', 'education']",60271,12,low,beginner,5000-10000,5000-10000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,6.1%
self-employed,<5000,<5000,"['vacation', 'emergency fund', 'education']",158832,17,high,beginner,>10000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.9%
retired,0,>10000,"['Buying house', 'emergency fund', 'vacation']",285317,8,moderate,advanced,0,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.7%
student,5000-10000,<5000,"['education', 'retirement', 'emergency fund']",101950,20,low,beginner,0,<5000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,6,7.5%
unemployed,>10000,<5000,"['emergency fund', 'education', 'Buying house']",495948,10,high,intermediate,0,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.3%
unemployed,<5000,>10000,"['Buying house', 'education', 'vacation']",384927,11,low,beginner,0,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.1%
student,0,>10000,"['education', 'emergency fund', 'vacation']",487377,9,high,advanced,0,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.9%
retired,<5000,5000-10000,"['emergency fund', 'retirement', 'education']",143757,18,low,beginner,>10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.6%
student,<5000,>10000,"['vacation', 'retirement', 'emergency fund']",195259,3,high,beginner,0,0,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,18.9%
self-employed,>10000,<5000,"['retirement', 'education', 'Buying house']",119387,13,moderate,intermediate,0,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,8,5.4%
retired,<5000,<5000,"['retirement', 'emergency fund', 'vacation']",395541,17,low,beginner,0,>10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,24.9%
unemployed,0,<5000,"['vacation', 'education', 'Buying house']",237290,17,low,beginner,<5000,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.7%
student,0,>10000,"['Buying house', 'retirement', 'education']",207690,12,high,beginner,<5000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,14.8%
self-employed,>10000,0,"['vacation', 'retirement', 'education']",311120,17,high,advanced,5000-10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.9%
retired,>10000,<5000,"['emergency fund', 'retirement', 'vacation']",236714,15,moderate,intermediate,>10000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,22.6%
student,0,<5000,"['education', 'vacation', 'Buying house']",53398,18,low,beginner,>10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.9%
student,5000-10000,0,"['emergency fund', 'retirement', 'education']",260045,20,moderate,advanced,5000-10000,>10000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,10.2%
unemployed,5000-10000,>10000,"['Buying house', 'education', 'vacation']",360180,1,high,intermediate,5000-10000,>10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,6,3.4%
student,<5000,>10000,"['emergency fund', 'vacation', 'education']",249698,16,low,intermediate,0,5000-10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,10.9%
student,>10000,0,"['education', 'vacation', 'Buying house']",446976,5,low,advanced,>10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,12.4%
student,<5000,5000-10000,"['education', 'emergency fund', 'retirement']",447254,15,moderate,beginner,0,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,15.8%
student,<5000,0,"['Buying house', 'emergency fund', 'retirement']",306685,20,low,beginner,<5000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.7%
retired,>10000,>10000,"['retirement', 'education', 'emergency fund']",480635,7,moderate,advanced,5000-10000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.6%
employed,0,5000-10000,"['retirement', 'education', 'vacation']",230045,4,moderate,intermediate,<5000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.1%
employed,5000-10000,<5000,"['Buying house', 'vacation', 'emergency fund']",421699,9,high,intermediate,5000-10000,>10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.2%
unemployed,<5000,5000-10000,"['retirement', 'Buying house', 'education']",374405,9,high,beginner,>10000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,19.8%
retired,>10000,0,"['vacation', 'emergency fund', 'retirement']",368838,10,low,intermediate,0,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.3%
student,5000-10000,5000-10000,"['retirement', 'Buying house', 'vacation']",438929,20,low,advanced,<5000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,6.3%
self-employed,>10000,>10000,"['Buying house', 'vacation', 'retirement']",30583,1,moderate,intermediate,<5000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,6.8%
employed,5000-10000,5000-10000,"['retirement', 'vacation', 'education']",363839,4,high,intermediate,<5000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,17.0%
employed,<5000,5000-10000,"['Buying house', 'emergency fund', 'vacation']",188579,3,high,beginner,>10000,0,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.6%
unemployed,>10000,5000-10000,"['education', 'vacation', 'retirement']",146796,1,low,intermediate,5000-10000,0,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.2%
employed,<5000,>10000,"['Buying house', 'emergency fund', 'retirement']",387128,7,high,beginner,>10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,14.1%
unemployed,<5000,5000-10000,"['education', 'vacation', 'emergency fund']",99757,6,low,intermediate,0,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,20.1%
employed,0,5000-10000,"['vacation', 'emergency fund', 'retirement']",308421,10,moderate,advanced,<5000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.1%
retired,5000-10000,>10000,"['vacation', 'education', 'retirement']",276239,3,low,advanced,5000-10000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,4,5.2%
self-employed,<5000,0,"['vacation', 'emergency fund', 'retirement']",285164,10,low,advanced,5000-10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.2%
unemployed,>10000,0,"['emergency fund', 'education', 'Buying house']",397842,19,moderate,beginner,<5000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,24.1%
retired,0,>10000,"['emergency fund', 'Buying house', 'retirement']",413198,9,low,beginner,0,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.1%
employed,5000-10000,0,"['education', 'vacation', 'Buying house']",393091,3,low,advanced,<5000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.5%
student,>10000,<5000,"['Buying house', 'retirement', 'emergency fund']",103727,11,moderate,beginner,<5000,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.3%
student,5000-10000,5000-10000,"['Buying house', 'retirement', 'education']",211001,16,moderate,beginner,5000-10000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,6.3%
retired,5000-10000,>10000,"['retirement', 'Buying house', 'education']",474941,10,low,advanced,<5000,<5000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.2%
unemployed,>10000,5000-10000,"['education', 'vacation', 'emergency fund']",435769,16,low,intermediate,>10000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,5,5.8%
employed,5000-10000,>10000,"['vacation', 'retirement', 'education']",301525,7,low,intermediate,0,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.3%
student,>10000,0,"['vacation', 'retirement', 'emergency fund']",385310,4,low,intermediate,<5000,<5000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,14.7%
retired,>10000,>10000,"['Buying house', 'education', 'emergency fund']",362575,6,moderate,beginner,<5000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,10.5%
student,<5000,0,"['retirement', 'vacation', 'education']",51480,19,low,advanced,0,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.6%
retired,>10000,5000-10000,"['emergency fund', 'Buying house', 'education']",158528,10,low,advanced,>10000,>10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,6.5%
retired,<5000,5000-10000,"['retirement', 'vacation', 'education']",325139,5,moderate,beginner,0,>10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.2%
unemployed,5000-10000,<5000,"['vacation', 'Buying house', 'emergency fund']",119698,15,low,advanced,5000-10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.2%
retired,0,>10000,"['emergency fund', 'vacation', 'retirement']",431717,12,high,beginner,0,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,11.7%
student,<5000,5000-10000,"['vacation', 'Buying house', 'retirement']",252686,19,low,advanced,5000-10000,>10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,17.5%
employed,>10000,<5000,"['retirement', 'emergency fund', 'education']",288526,15,moderate,advanced,5000-10000,5000-10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.4%
unemployed,5000-10000,5000-10000,"['vacation', 'education', 'retirement']",35142,12,moderate,advanced,5000-10000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.9%
retired,0,0,"['vacation', 'emergency fund', 'education']",220497,13,high,intermediate,5000-10000,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.5%
retired,0,5000-10000,"['Buying house', 'vacation', 'emergency fund']",298191,20,low,advanced,5000-10000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.2%
unemployed,>10000,<5000,"['education', 'retirement', 'emergency fund']",273698,12,moderate,beginner,<5000,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.6%
unemployed,5000-10000,>10000,"['education', 'vacation', 'emergency fund']",467423,2,low,advanced,0,>10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.6%
self-employed,5000-10000,5000-10000,"['education', 'Buying house', 'retirement']",290711,8,moderate,advanced,5000-10000,>10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,5.5%
retired,>10000,5000-10000,"['retirement', 'emergency fund', 'education']",250120,10,moderate,intermediate,5000-10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.2%
employed,<5000,>10000,"['retirement', 'vacation', 'Buying house']",96881,15,low,intermediate,5000-10000,<5000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,15.2%
employed,<5000,5000-10000,"['Buying house', 'retirement', 'education']",238567,20,low,advanced,5000-10000,>10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,12.0%
student,>10000,0,"['Buying house', 'emergency fund', 'retirement']",211957,7,high,advanced,5000-10000,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,5,24.9%
self-employed,<5000,0,"['retirement', 'Buying house', 'education']",463503,10,low,beginner,>10000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.0%
unemployed,0,>10000,"['retirement', 'vacation', 'emergency fund']",308984,6,high,intermediate,>10000,0,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,6,11.3%
student,>10000,5000-10000,"['retirement', 'vacation', 'education']",483355,3,high,advanced,5000-10000,>10000,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,22.5%
self-employed,>10000,5000-10000,"['emergency fund', 'retirement', 'Buying house']",424074,16,high,intermediate,>10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.4%
retired,>10000,>10000,"['education', 'emergency fund', 'vacation']",154369,1,moderate,intermediate,<5000,>10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,22.8%
unemployed,0,>10000,"['education', 'Buying house', 'vacation']",390346,10,moderate,advanced,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,5.7%
unemployed,5000-10000,<5000,"['vacation', 'retirement', 'education']",229331,10,moderate,beginner,5000-10000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,11.1%
employed,<5000,0,"['vacation', 'Buying house', 'education']",104152,9,low,beginner,>10000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.3%
employed,5000-10000,5000-10000,"['education', 'vacation', 'retirement']",194996,7,high,advanced,<5000,<5000,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,6,6.7%
employed,<5000,>10000,"['retirement', 'emergency fund', 'vacation']",375116,18,low,intermediate,5000-10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,12.9%
self-employed,<5000,>10000,"['vacation', 'retirement', 'Buying house']",138350,18,high,advanced,5000-10000,0,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,14.3%
student,>10000,>10000,"['emergency fund', 'vacation', 'education']",217041,15,moderate,advanced,<5000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.6%
self-employed,0,<5000,"['education', 'emergency fund', 'vacation']",185943,8,moderate,advanced,>10000,0,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,7.2%
self-employed,5000-10000,<5000,"['retirement', 'emergency fund', 'Buying house']",241425,13,moderate,beginner,0,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,14.0%
student,0,>10000,"['vacation', 'emergency fund', 'retirement']",136953,10,moderate,intermediate,>10000,5000-10000,saver,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,21.4%
retired,>10000,0,"['retirement', 'emergency fund', 'vacation']",419878,7,high,intermediate,>10000,<5000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,6.9%
self-employed,>10000,5000-10000,"['Buying house', 'emergency fund', 'education']",486183,12,moderate,intermediate,>10000,>10000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,9,6.5%
employed,>10000,<5000,"['Buying house', 'education', 'retirement']",196779,5,high,intermediate,0,0,saver,Stable Income,Dividend-focused strategy for consistent income.,low,7,4.6%
employed,>10000,<5000,"['education', 'Buying house', 'retirement']",353782,6,high,advanced,>10000,5000-10000,saver,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,8,7.4%
retired,5000-10000,<5000,"['retirement', 'vacation', 'education']",320816,19,moderate,advanced,0,<5000,saver,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,12.1%
retired,<5000,0,"['Buying house', 'emergency fund', 'education']",136251,11,moderate,intermediate,5000-10000,5000-10000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.5%
student,0,>10000,"['retirement', 'vacation', 'Buying house']",364454,18,low,intermediate,0,>10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,5,6.1%
unemployed,5000-10000,>10000,"['retirement', 'education', 'Buying house']",130086,11,moderate,intermediate,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.2%
employed,0,5000-10000,"['emergency fund', 'education', 'Buying house']",378189,14,high,intermediate,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,5,3.3%
student,0,>10000,"['retirement', 'Buying house', 'emergency fund']",164904,20,low,advanced,>10000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,4.5%
unemployed,<5000,>10000,"['vacation', 'retirement', 'emergency fund']",92329,16,moderate,intermediate,0,5000-10000,balanced,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.7%
self-employed,0,5000-10000,"['vacation', 'emergency fund', 'retirement']",25165,17,high,advanced,<5000,0,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,4.0%
unemployed,>10000,0,"['Buying house', 'vacation', 'education']",36128,17,low,advanced,5000-10000,<5000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,22.4%
student,<5000,>10000,"['Buying house', 'emergency fund', 'retirement']",198595,10,moderate,beginner,>10000,<5000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.2%
self-employed,<5000,<5000,"['vacation', 'retirement', 'education']",250923,5,low,intermediate,5000-10000,5000-10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,5,5.4%
employed,<5000,5000-10000,"['Buying house', 'emergency fund', 'education']",274359,14,moderate,intermediate,>10000,5000-10000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.8%
self-employed,<5000,>10000,"['education', 'vacation', 'emergency fund']",365121,17,high,beginner,<5000,5000-10000,balanced,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,9,8.0%
retired,<5000,5000-10000,"['emergency fund', 'retirement', 'education']",444343,14,moderate,beginner,>10000,5000-10000,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,7,7.9%
employed,>10000,5000-10000,"['retirement', 'Buying house', 'emergency fund']",349972,10,high,beginner,<5000,<5000,spender,Conservative Bonds,Stable bond investments for capital preservation.,low,3,4.8%
self-employed,0,0,"['emergency fund', 'Buying house', 'vacation']",445544,11,high,advanced,<5000,5000-10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.7%
retired,>10000,<5000,"['Buying house', 'education', 'retirement']",264065,13,high,advanced,>10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,22.9%
student,<5000,5000-10000,"['retirement', 'emergency fund', 'vacation']",153259,9,low,beginner,<5000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,10.4%
self-employed,>10000,<5000,"['vacation', 'emergency fund', 'retirement']",107568,10,low,beginner,5000-10000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,4,13.6%
self-employed,5000-10000,5000-10000,"['retirement', 'vacation', 'emergency fund']",78595,10,moderate,intermediate,<5000,5000-10000,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,24.6%
retired,>10000,<5000,"['retirement', 'emergency fund', 'education']",240277,12,high,beginner,>10000,0,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,7,13.1%
retired,0,<5000,"['education', 'vacation', 'emergency fund']",472990,10,high,advanced,0,>10000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.0%
retired,<5000,<5000,"['vacation', 'education', 'retirement']",70508,5,moderate,intermediate,>10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,4,22.2%
retired,>10000,5000-10000,"['Buying house', 'education', 'vacation']",60794,7,low,beginner,>10000,5000-10000,spender,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,10.8%
retired,0,<5000,"['retirement', 'education', 'Buying house']",96853,20,high,intermediate,5000-10000,0,spender,Balanced Growth Portfolio,A mix of index funds and bonds optimized for long-term growth.,moderate,10,7.9%
self-employed,>10000,>10000,"['retirement', 'vacation', 'emergency fund']",462222,8,low,advanced,>10000,>10000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,4,3.5%
retired,5000-10000,0,"['emergency fund', 'retirement', 'vacation']",33278,5,moderate,beginner,5000-10000,<5000,saver,Stable Income,Dividend-focused strategy for consistent income.,low,6,5.0%
student,>10000,5000-10000,"['education', 'emergency fund', 'retirement']",311140,19,low,intermediate,>10000,<5000,spender,Stable Income,Dividend-focused strategy for consistent income.,low,6,4.8%
self-employed,<5000,<5000,"['education', 'retirement', 'emergency fund']",363318,1,high,intermediate,5000-10000,0,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.0%
student,0,5000-10000,"['retirement', 'emergency fund', 'education']",86024,6,moderate,beginner,<5000,>10000,saver,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.1%
unemployed,5000-10000,<5000,"['education', 'retirement', 'Buying house']",46465,9,high,beginner,0,<5000,balanced,Conservative Bonds,Stable bond investments for capital preservation.,low,3,3.9%
student,<5000,<5000,"['retirement', 'vacation', 'emergency fund']",136343,1,moderate,intermediate,>10000,0,balanced,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,2,16.3%
student,<5000,>10000,"['education', 'retirement', 'Buying house']",404055,10,high,beginner,5000-10000,>10000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,3,10.8%
self-employed,0,<5000,"['emergency fund', 'vacation', 'retirement']",391967,19,high,advanced,>10000,0,balanced,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.3%
unemployed,>10000,<5000,"['Buying house', 'retirement', 'vacation']",52023,11,high,beginner,5000-10000,0,spender,Crypto Risk Play,High-risk cryptocurrency-based strategy for aggressive growth.,high,3,18.0%
student,5000-10000,5000-10000,"['education', 'emergency fund', 'Buying house']",51714,16,high,intermediate,5000-10000,0,spender,Stable Income,Dividend-focused strategy for consistent income.,low,8,4.9%
self-employed,5000-10000,>10000,"['education', 'retirement', 'emergency fund']",278590,3,low,advanced,<5000,5000-10000,spender,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,7,5.4%
retired,>10000,<5000,"['retirement', 'education', 'vacation']",325735,10,low,beginner,<5000,<5000,saver,Moderate Indexing,Indexed fund strategy for balanced growth and risk.,moderate,8,6.4%
student,5000-10000,>10000,"['vacation', 'emergency fund', 'education']",358868,15,high,intermediate,5000-10000,<5000,balanced,Aggressive Stocks,High-growth stock portfolio targeting maximum returns.,high,5,14.1%
